,Name,Latitude,Longitude,Address,Telephone,Work-time
0,Ремедика,52.0969326,23.7526257,"Московская ул., 253",+375 16 253-11-07,09:00 – 21:00
1,Витафарм1,52.09719415,23.763297326,"просп. Республики, 1",+375 16 228-13-57,08:00 – 20:00
2,Витафарм2,52.09884979,23.75645416,"Московская ул., 326",+375 16 259-30-98,08:00 – 22:00
3,Фармация 1,52.0924607,23.766562928517423,"ул. Богданчука, 126",+375 16 235-51-06,09:00 – 20:00
4,Формула Жизни Плюс 1,52.05603,23.738592,"Гвардейская улица, 6А",+375 29 101-47-39,09:00 – 21:00
5,ADEL,52.055354,23.739805,"Гвардейская улица, 9",+375 25 683-87-87,09:00 – 20:00
6,Планета Здоровья,52.05541,23.738413,"Гвардейская улица, 5",+375 16 259-24-72,07:45 – 20:00
7,Ремедика 2,52.061745,23.732565,"микрорайон Южный, ул. Жукова, 7",+375 16 258-06-89,09:00 – 21:00
8,Фармация 2,52.062481,23.732726,"микрорайон Южный, ул. Жукова, 1",+375 16 228-89-86,09:00 – 21:00
9,Фармация 3,52.064723,23.730202,"Рябиновая улица, 1А",+375 16 253-53-26,09:00 – 21:00
10,Добрыя лекi,52.069031,23.733481,"Рябиновая ул., 26",+375 25 535-57-57,09:00 – 21:00
11,Аптека № 11,52.069828,23.729349,"Вульковская ул., 78",+375 16 232-16-24,09:00 – 21:00
12,Формула жизни плюс 2,52.071356,23.72492,"Вульковская ул., 120А",+375 16 250-83-65,09:00 – 20:00
13,Аптека № 12 Гратиафарм,52.079659,23.765407,"Луцкая улица, 86",+375 16 228-10-00,09:00 – 22:00
14,Фитос-А,52.077179,23.769881,"просп. Республики, 24",+375 16 252-73-45,09:00 – 22:00
15,Олана Плюс,52.078358,23.74091,"ул. 28 Июля, 37А",+375 16 248-07-27,09:00 – 21:00
16,Добрыя лекi,52.106284,23.753756,"ул. Советской Конституции, 21",+375 29 535-57-57,09:00 – 21:00
17,Фитос-А,52.101709,23.769674,"Московская ул., 342",+375 16 229-10-56,09:00 – 21:00
18,Аптека № 173,52.11067,23.773294,"ул. Гаврилова, 37",+375 16 247-50-80,08:00 – 21:00
19,Витафарм 3,52.11431,23.742293,"ул. Мошенского, 102",+375 16 222-03-03,09:30 – 21:30
20,Формула жизни № 3,52.084546,23.71158,"наб. Франциска Скорины, 32",+375 16 252-70-88,09:00 – 21:00
21,Фармация 4,52.087944,23.69524,"Советская ул., 101",+375 16 220-54-92,08:00 – 21:00
22,Фармация аптека № 1,52.099331,23.694916,"бульвар Космонавтов, 24",+375 16 220-73-67,08:00 – 21:00
23,Витафарм 4,52.091989,23.687191,"улица Гоголя, 32",+375 16 221-61-03,Круглосуточно
24,Фармация аптека № 105,52.087894,23.686418,"ул. Ленина, 35",+375 16 220-00-72,08:00 – 21:00
25,Витафарм 5,52.086931,23.677085,"ул. Фомина, 14",+375 16 235-14-50,09:00 – 21:00
26,Новамедика,52.088536,23.676276,"ул. Гоголя, 1Г",+375 16 254-85-68,09:30 – 17:30
27,Doctorgreen,52.098556,23.69179,"ул. Карбышева, 21",+375 29 274-32-14,График работы не указан
28,Искамед,52.096028,23.685322,"улица Мицкевича, 11",+375 16 256-90-00,09:00 – 21:00
29,Белана,52.099049,23.681711,"ул. Орджоникидзе, 12",+375 16 223-29-11,07:00 – 19:00
30,Альфа аптека,52.097084,23.691044,"улица Куйбышева, 13",+375 16 228-21-63,09:00 – 20:00
31,Фармация аптека № 1,52.099331,23.694916,"бульвар Космонавтов, 24",+375 16 220-73-67,08:00 – 21:00
32,П МедФармИнвест,52.095923,23.697279,"бульвар Космонавтов, 49/51",+375 16 221-64-84,08:00 – 20:30
33,Альфа аптека,52.112258,23.666179,"Аэродромная улица, 20",+375 16 255-58-85,09:00 – 21:00
34,Фармация аптека № 177,52.106113,23.691691,"ул. Кижеватова, 74",+375 16 257-44-24,08:00 – 20:00
35,Аптека № 41 Юнифарм,52.094036,23.698267,"ул. Гоголя, 78",+375 44 507-15-41,09:00 – 21:00
